"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 1TB + 256GB SSD M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374226",29979.6 ⊆ ,332 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 1TB + 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374334",30069.9 ⊆ ,333 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB + 512GB SSD M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374227",30069.9 ⊆ ,333 $
"Lenovo V15 i3-10110U 2.1-4.1GHz,4GB,SSD 480GB,15.6""FHD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/41503168",29618.4 ⊆ ,328 $
"Ноутбук Acer Aspire Black Intel Core i3-1005G1 (up to 3.4Ghz), 8GB, 256GB M.2 NVMe PCIe, Intel HD Graphics 620, 15.6"" LED FULL HD(1920x1080),WiFi,BT,Cam,LAN RJ45,DOS, Eng-Rus(*id 12)https://www.link.kg/catalog/1/41506358",29708.7 ⊆ ,329 $
"Acer Aspire 3 A315 i3-1005G1 1.2-3.4GHz,12GB, SSD 256GB, 15.6""FHD,LAN,BLACK (12мес)https://www.link.kg/catalog/1/41503261",29799 ⊆ ,330 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, SSD 480GB, 15.6""FHD RUS, HDMI, ABYSS BLUEhttps://www.link.kg/catalog/1/41503198",29799 ⊆ ,330 $
"Ноутбук Acer Aspire A3 Intel Core i3-1005G1 (1.20-3.40GHz), 8GB DDR4, 256GB SSD m.2 NVMe, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, LAN, DOS, голубой [NX.KAFEM.004](*id 12)https://www.link.kg/catalog/1/41506366",29889.3 ⊆ ,331 $
"Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 1TB + 512GB SSD SSD PCIe NVMe M.2, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREYhttps://www.link.kg/catalog/1/41504541",31334.1 ⊆ ,347 $
"Ноутбук Acer Aspire A3 Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 1TB HDD + 256GB SSD PCIe NVMe M.2, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, DOS, Black [NX.KAGEM.004](*id 12)https://www.link.kg/catalog/1/41506368",30069.9 ⊆ ,333 $
